"region_id","region_name","area","Long","Lat","STATE","DEATHS","Age_0_4_yr_M","Age_0_4_yr_F","Age_5_14_yr_M","Age_5_14_yr_F","Age_15_19_yr_M","Age_15_19_yr_F","Age_20_24_yr_M","Age_20_24_yr_F","Age_25_34_yr_M","Age_25_34_yr_F","Age_35_44_yr_M","Age_35_44_yr_F","Age_45_54_yr_M","Age_45_54_yr_F","Age_55_64_yr_M","Age_55_64_yr_F","Age_65_74_yr_M","Age_65_74_yr_F","Age_75_84_yr_M","Age_75_84_yr_F","Age_85ov_M","Age_85ov_F","EXPDEATHS","Tot_P_M","Tot_P_F","Tot_P_P","Indig_Bth_Abor_Torres_St_Is_P","Birthplace_Australia_P","Lang_spoken_home_Eng_only_P","Australian_citizen_P","High_yr_schl_comp_Yr_12_eq_P","Count_psns_occ_priv_dwgs_P","Level.MEDIAN_MORTGAGE_REPAYMENT","Level.MEDIAN_HOUSEHOLD_WEEKLY_INCOME","Level.AVERAGE_HOUSEHOLD_SIZE","P_Tot_Marrd_reg_marrge","P_Tot_Married_de_facto","P_Tot_Not_married","Aust_Both_parents_born_Aust","Christianity_Tot_P","Islam_P","No_Religion_P","P_DNGTS_Tot","P_Tot_Volunteer","P_LonePsn_Tot","Total_dwelings","OPDs_Separate_house_Dwellings","O_OR_Total","O_MTG_Total","R_Tot_Total","P_PGrad_Deg_Total","P_BachDeg_Total","P_Health_Tot","P_Emp_FullT_Tot","P_Unem_look_Tot_Tot","Prop.ATSI","Prop.BORN_IN_AUS","Prop.SPEAK_ONLY_ENGLISH","Prop.AUS_CITIZEN","Prop.PARENTS_BORN_AUS","Prop.IN_PRIVATE_DWELLING","Prop.REGISTERED_MARRIAGE","Prop.DE_FACTO_MARRIAGE","Prop.NOT_MARRIED","Prop.CHRISTIAN","Prop.ISLAM","Prop.NO_RELIGION","Prop.NO_SCHOOLING","Prop.COMPLETED_HIGH_SCHOOL","Prop.BACHELOR_DEGREE","Prop.POST_GRADUATE","Prop.VOLUNTEERING","Prop.LIVE_ALONE","Prop.SEPARATE_HOUSES","Prop.OWNED_OUTRIGHT","Prop.OWNED_WITH_MORTGAGE","Prop.RENTED_ACCOM","Prop.FULL_TIME_EMPLOYED","Prop.UNEMPLOYED_AND_LOOKING","Prop.EMPLOYED_IN_HEALTH"
"101011001","Goulburn",64.6442605972615,149.71954352,-34.75053869,"NSW",220,729,644,1423,1276,748,671,647,625,1334,1227,1411,1415,1513,1424,1327,1283,935,1020,532,768,160,372,181.232474797567,10760,10724,21484,6,18858,19438,19463,5251,19428,1480,962,2.4,6928,1568,6582,8555,16528,41,2645,94,2819,2545,8251,7116,2794,2621,2571,216,1192,942,5950,609,0.000279277601936325,0.877769502885869,0.904766337739713,0.904766337739713,0.39820331409421,0.904300875069819,0.322472537702476,0.0729845466393595,0.306367529324148,0.769316700800596,0.00190839694656489,0.12311487618693,0.00437534909700242,0.244414447961274,0.0554831502513498,0.0100539936697077,0.131213926643083,0.118460249487991,0.862440916252575,0.338625621136832,0.317658465640528,0.311598594109805,0.276950288586855,0.028346676596537,0.043846583504003
"101011002","Goulburn Region",9035.11538633562,149.60463511,-34.51648038,"NSW",77,328,292,814,757,407,339,219,198,385,441,692,757,923,907,973,916,717,676,372,321,85,96,92.5344139168801,5915,5699,11614,0,9922,10763,10674,3042,10673,1600,978,2.4,4824,754,2826,4227,9041,28,1545,37,2427,1092,4393,4238,2099,1401,757,187,778,536,3433,218,0,0.85431375925607,0.92672636473222,0.92672636473222,0.363957292922335,0.918977096607543,0.415360771482693,0.0649216462889616,0.243327019114861,0.778457034613398,0.00241088341656621,0.133029102806957,0.00318581022903392,0.261925262614086,0.0669881177888755,0.0161012571034958,0.208971930428793,0.0940244532460823,0.96471659458229,0.477805599817892,0.318916458001366,0.172319599362622,0.29559152746685,0.0187704494575512,0.0461511968314104
"101011003","Yass",99.7338519055256,148.91595816,-34.82286473,"NSW",86,239,244,415,433,209,200,193,170,304,356,439,478,442,387,357,383,235,279,176,220,64,107,55.2982104450189,3072,3256,6328,0,5446,5804,5830,2019,5738,1802,1290,2.5,2326,471,1605,2466,4566,25,1071,11,1159,572,2289,2054,775,871,547,110,511,233,1930,94,0,0.860619469026549,0.917193426042984,0.917193426042984,0.389696586599241,0.906763590391909,0.367572692793932,0.0744310998735778,0.253634639696587,0.721554993678888,0.00395069532237674,0.169247787610619,0.00173830594184576,0.319058154235145,0.0807522123893805,0.0173830594184576,0.183154235145386,0.0903919089759798,0.897335080821319,0.338575797291394,0.380515508955876,0.238968982088248,0.304993678887484,0.0148546144121365,0.0368204804045512
"101011004","Yass Region",5681.96516933766,148.893149,-34.87672009,"NSW",32,343,322,824,802,357,318,172,188,383,479,824,884,908,831,777,751,481,404,148,134,18,47,49.3457712229506,5234,5161,10395,4,8656,9578,9634,4317,9596,2000,1727,2.7,4419,775,2097,3732,6687,21,2661,17,2417,607,3563,3497,1311,1609,562,457,1246,395,3641,115,0.000384800384800385,0.832708032708033,0.921404521404521,0.921404521404521,0.359018759018759,0.923136123136123,0.425108225108225,0.0745550745550746,0.201731601731602,0.643290043290043,0.00202020202020202,0.255988455988456,0.00163540163540164,0.415295815295815,0.11986531986532,0.043963443963444,0.232515632515633,0.0583934583934584,0.981476284030312,0.367948358125175,0.451585742351951,0.157732248105529,0.35026455026455,0.0110630110630111,0.037999037999038
"101011005","Young",505.75371131157,148.35306668,-34.3211381,"NSW",116,397,396,753,737,347,355,258,256,490,562,625,627,636,640,619,666,477,498,264,374,88,215,94.2254044709366,4955,5326,10281,0,9100,9479,9418,2178,9359,1300,816,2.5,3481,706,2849,4145,8138,138,1170,33,1693,1112,3829,3414,1475,1110,1095,70,534,420,2482,286,0,0.885127905845735,0.921992024122167,0.921992024122167,0.40317089777259,0.910320007781344,0.338585740686704,0.0686703628051746,0.277113121291703,0.791557241513471,0.0134228187919463,0.113802159323023,0.00320980449372629,0.211847096585935,0.0519404727166618,0.00680867619881334,0.164672697208443,0.108160684758292,0.891616610080961,0.385218072603813,0.289892922434056,0.285975450509271,0.241416204649353,0.0278183056122945,0.0408520571928801
"101011006","Young Region",5849.40158227346,148.49559547,-34.30979741,"NSW",77,235,230,525,484,225,212,145,136,275,293,425,477,540,521,598,570,484,402,224,237,50,106,64.3742545799408,3726,3667,7393,7,6577,6933,6886,1752,6796,1000,765,2.4,2871,445,1987,3075,6035,30,740,36,1545,879,2929,2801,1391,775,637,49,424,275,1956,172,0.00094684160692547,0.889625321249831,0.937778980116326,0.937778980116326,0.415933991613689,0.919247937237928,0.388340321926146,0.0601920735831192,0.26876775328013,0.816312728256459,0.00405789260110916,0.100094684160693,0.00486947112133099,0.236980927904775,0.0573515487623428,0.00662789124847829,0.208981468957122,0.118896253212498,0.95629907818368,0.474906111300785,0.264595425059747,0.217480368726528,0.264574597592317,0.0232652509130258,0.0371973488435006
"101021007","Braidwood",3418.49578830308,149.79319397,-35.45509642,"NSW",30,97,103,217,213,106,72,40,37,126,127,218,257,286,259,271,277,226,200,86,78,16,44,26.3933108148886,1690,1667,3357,0,2713,3035,2985,1173,2979,1517,912,2.3,1235,258,834,1133,2030,3,875,7,899,393,1305,1239,615,401,254,118,337,141,920,66,0,0.808162049448913,0.904081024724456,0.904081024724456,0.337503723562705,0.887399463806971,0.36788799523384,0.0768543342269884,0.248436103663986,0.604706583258862,0.000893655049151028,0.260649389335716,0.00208519511468573,0.349419124218052,0.100387250521299,0.0351504319332738,0.267798629728925,0.117068811438785,0.949425287356322,0.471264367816092,0.30727969348659,0.19463601532567,0.274054215072982,0.0196604110813226,0.0420017873100983
"101021008","Karabar",6.98228999692395,149.23279622,-35.3759539,"NSW",43,307,289,630,603,328,289,289,259,571,649,631,651,613,666,483,494,254,291,114,128,18,44,37.5603760386763,4238,4363,8601,14,6736,7041,7751,2965,8246,1900,1560,2.7,2936,658,2695,2902,6223,65,1464,32,961,744,3090,2558,871,1187,928,176,568,200,3165,156,0.00162771770724334,0.783164748285083,0.818625741192885,0.818625741192885,0.337402627601442,0.95872572956633,0.341355656319033,0.0765027322404372,0.313335658644344,0.723520520869666,0.00755726078362981,0.170212765957447,0.00372049761655621,0.344727357284037,0.0660388326938728,0.0204627368910592,0.111731194047204,0.086501569584932,0.827831715210356,0.281877022653722,0.384142394822006,0.300323624595469,0.367980467387513,0.0181374258807115,0.0232531101034763
"101021009","Queanbeyan",4.76361111667856,149.22545218,-35.35104081,"NSW",118,327,338,472,426,254,234,399,392,980,913,842,707,728,583,591,527,313,369,227,333,75,203,83.5240449708646,5210,5024,10234,5,7105,7696,8688,4084,9261,1733,1266,2.1,2851,977,3733,2683,6452,201,2114,95,1227,1730,4360,2133,1107,1387,1689,367,1051,320,3912,196,0.000488567520031268,0.694254445964432,0.752003126832128,0.752003126832128,0.262165331248779,0.904924760601915,0.278581199921829,0.0954660934141098,0.364764510455345,0.630447527848349,0.019640414305257,0.20656634746922,0.0092827828805941,0.39906195036154,0.102696892710573,0.0358608559702951,0.119894469415673,0.169044361930819,0.489220183486239,0.253899082568807,0.318119266055046,0.387385321100917,0.382255227672464,0.0191518467852257,0.0312683212820012
"101021010","Queanbeyan - East",13.0038813402824,149.25240681,-35.35517272,"NSW",24,171,122,237,204,128,105,196,221,467,437,377,316,354,318,259,247,148,134,62,84,14,40,23.5997388897822,2412,2229,4641,4,3240,3544,3860,2135,4269,1950,1397,2.2,1410,464,1610,1305,2868,100,931,21,627,766,1989,815,454,643,851,207,572,161,1939,84,0.000861883214824391,0.698125404007757,0.763628528334411,0.763628528334411,0.281189398836458,0.919844861021332,0.303813833225598,0.0999784529196294,0.346907993966817,0.617970265029089,0.0215470803706098,0.200603318250377,0.00452488687782805,0.460030165912519,0.123249299719888,0.0446024563671623,0.135100193923723,0.165050635638871,0.409753645047763,0.228255404725993,0.323278029160382,0.427853192559075,0.417797888386124,0.0180995475113122,0.0346907993966818
"101021011","Queanbeyan Region",3054.19735959771,149.39112476,-35.44403666,"NSW",43,474,443,1093,1097,518,515,376,301,543,605,1040,1191,1299,1277,1113,990,496,417,141,127,24,31,54.4902079046549,7117,6993,14110,0,11342,12713,12916,6190,12872,2167,2189,2.9,5816,1064,2907,4934,8907,6,3589,23,2730,652,4498,4301,1565,2322,524,719,1676,551,5225,177,0,0.803827072997874,0.90099220411056,0.90099220411056,0.349681077250177,0.912260807937633,0.41218993621545,0.0754075124025514,0.206024096385542,0.631254429482636,0.000425230333097094,0.254358610914245,0.00163004961020553,0.438695960311836,0.118781006378455,0.0509567682494685,0.193479801559178,0.0462083628632176,0.956202756780791,0.347932414406403,0.51622943530458,0.116496220542463,0.370304748405386,0.0125442948263643,0.0390503189227498
"101021012","Queanbeyan West - Jerrabomberra",13.6784728755835,149.20284373,-35.37758363,"NSW",26,514,495,1068,1100,476,480,383,368,711,818,1120,1258,1039,993,562,523,210,230,86,95,16,26,35.5096148193688,6186,6385,12571,6,10173,10853,11670,5561,12098,2383,2394,3,5047,814,2939,4126,9017,87,2444,16,1809,611,4118,3429,968,2067,1028,600,1367,391,5089,164,0.000477288998488585,0.809243496937396,0.863336250099435,0.863336250099435,0.328215734627317,0.962373717285817,0.401479595895315,0.064752207461618,0.233792061092992,0.717285816561928,0.00692069047808448,0.194415718717684,0.00127277066263623,0.442367353432503,0.108742343488983,0.0477288998488585,0.143902633044308,0.0486039296794209,0.832685769791161,0.235065565808645,0.501942690626518,0.249635745507528,0.404820618884735,0.0130458992920213,0.0311033330681728
"101031013","Bombala",3989.11865416699,149.04547198,-36.87792584,"NSW",25,64,69,155,160,78,53,43,35,101,116,149,132,190,185,205,193,141,112,66,83,31,58,25.8034270044787,1223,1196,2419,6,2125,2299,2263,604,2242,962,802,2.2,904,184,667,976,1825,0,400,9,657,331,1007,971,503,251,215,17,137,98,704,39,0.00248036378668871,0.878462174452253,0.950392724266226,0.950392724266226,0.403472509301364,0.926829268292683,0.3737081438611,0.0760644894584539,0.275733774286895,0.754443985117817,0,0.165357585779248,0.00372054568003307,0.249689954526664,0.0566349731293923,0.00702769739561802,0.271599834642414,0.136833402232327,0.964250248262165,0.499503475670308,0.249255213505462,0.213505461767627,0.291029350971476,0.0161223646134766,0.0405126085159157
"101031014","Cooma",103.669957370578,149.11940468,-36.25022352,"NSW",78,229,200,425,397,227,204,187,163,350,334,433,419,487,497,414,417,291,341,190,246,77,149,66.7447636752085,3308,3366,6674,6,5371,5834,5921,1879,6014,1200,893,2.3,2242,493,1957,2291,4698,17,1178,12,1273,894,2685,2365,995,817,782,99,461,250,1834,167,0.000899011087803416,0.804764758765358,0.874138447707522,0.874138447707522,0.343272400359604,0.901108780341624,0.335930476475877,0.0738687443811807,0.293227449805214,0.703925681750075,0.00254719808210968,0.176505843572071,0.00179802217560683,0.28154030566377,0.0690740185795625,0.0148336829487564,0.190740185795625,0.133952652082709,0.880819366852886,0.370577281191806,0.304283054003724,0.291247672253259,0.274797722505244,0.0250224752771951,0.0374587953251423
"101031015","Cooma Region",6249.0129301357,149.08236098,-36.12723517,"NSW",15,85,77,229,195,97,93,60,43,86,102,193,227,296,271,268,245,222,182,91,74,17,23,23.458654893285,1645,1531,3176,0,2624,2908,2913,1023,2930,1400,964,2.4,1325,215,740,1060,2245,11,627,9,793,316,1221,1141,604,414,172,63,292,133,992,54,0,0.826196473551637,0.915617128463476,0.915617128463476,0.33375314861461,0.922544080604534,0.417191435768262,0.0676952141057934,0.232997481108312,0.706863979848867,0.00346347607052897,0.197418136020151,0.00283375314861461,0.322103274559194,0.0919395465994962,0.0198362720403023,0.249685138539043,0.0994962216624685,0.934479934479934,0.494676494676495,0.339066339066339,0.140868140868141,0.312342569269521,0.0170025188916877,0.0418765743073048
