NAME                                   ,LO, HI,  DISPLAY
"area"                                ,0,520000,"Area in SQ KM"
"Long"                                 ,115,154,"Longitude"
"Lat"                                  ,-43,-12,"Latitude"
"STATE"                                ,NA,NA,  "State/Territory"       
"Level.MEDIAN_MORTGAGE_REPAYMENT"      ,0,3100, "Median Mortgage Repayment"
"Level.MEDIAN_HOUSEHOLD_WEEKLY_INCOME" ,0,2600, "Median Household weekly income"
"Level.AVERAGE_HOUSEHOLD_SIZE"         ,NA,NA,  "Mean Household size"
"Prop.ATSI"                            ,NA,NA,  "Proportion Indigenous"
"Prop.BORN_IN_AUS"                     ,0,1,    "Prop born in Australia"
"Prop.SPEAK_ONLY_ENGLISH"              ,0,1,    "Prop only speak English"
"Prop.AUS_CITIZEN"                     ,0,1,    "Prop Australian Citizens"
"Prop.PARENTS_BORN_AUS"                ,0,1,    "Prop with Aus born parents"
"Prop.IN_PRIVATE_DWELLING"             ,0,1,    "Prop in Private Dwellings"
"Prop.REGISTERED_MARRIAGE"             ,0,1,    "Prop in registered marriage"
"Prop.DE_FACTO_MARRIAGE"               ,0,1,    "Prop in de facto marriage"
"Prop.NOT_MARRIED"                     ,0,1,    "Prop not married"
"Prop.CHRISTIAN"                       ,0,1,    "Prop Christian" 
"Prop.ISLAM"                           ,0,1,    "Prop Islam"
"Prop.NO_RELIGION"                     ,0,1,    "Prop No Religion"
"Prop.NO_SCHOOLING"                    ,0,1,    "Prop with no Schooling"
"Prop.COMPLETED_HIGH_SCHOOL"           ,0,1,    "Prop completed high school"
"Prop.BACHELOR_DEGREE"                 ,0,1,    "Prop with Bachelors degree"
"Prop.POST_GRADUATE"                   ,0,1,    "Prop with Post Grad degree"
"Prop.VOLUNTEERING"                    ,0,1,    "Prop volunteering"
"Prop.LIVE_ALONE"                      ,0,1,    "Prop Living alone"
"Prop.SEPARATE_HOUSES"                 ,0,1,    "Prop of separate houses"
"Prop.OWNED_OUTRIGHT"                  ,0,1,    "Prop of dwellings owned ouright"
"Prop.OWNED_WITH_MORTGAGE"             ,0,1,    "Prop of dwellings with mortgage"
"Prop.RENTED_ACCOM"                    ,0,1,    "Prop of dwellings Rented"
"Prop.FULL_TIME_EMPLOYED"              ,0,1,    "Prop in full time employment"
"Prop.UNEMPLOYED_AND_LOOKING"          ,0,1,    "Prop looking for work"
"Prop.EMPLOYED_IN_HEALTH"              ,0,1,    "Prop employed in health care"
